"Date","Open","High","Low","Close"
"23 Jul 2019","29342.45","29365.80","29078.15","29128.10"
"22 Jul 2019","29617.05","29635.15","29194.10","29284.95"
"19 Jul 2019","30515.10","30543.75","29705.75","29770.35"
"18 Jul 2019","30705.80","30769.35","30378.60","30430.60"
"17 Jul 2019","30622.25","30799.70","30568.30","30735.50"
"16 Jul 2019","30532.65","30635.00","30429.90","30570.80"
"15 Jul 2019","30688.85","30695.70","30334.20","30445.95"
"12 Jul 2019","30789.75","30870.95","30548.30","30601.45"
"11 Jul 2019","30707.00","30788.05","30565.35","30716.55"
"10 Jul 2019","30618.05","30728.35","30428.60","30522.10"
"09 Jul 2019","30533.40","30702.10","30346.70","30569.15"
"08 Jul 2019","31346.85","31370.40","30536.75","30603.85"
"05 Jul 2019","31523.05","31660.75","31323.25","31475.80"
"04 Jul 2019","31471.00","31608.35","31428.05","31471.85"
"03 Jul 2019","31347.70","31467.15","31238.50","31382.30"
"02 Jul 2019","31414.65","31431.35","31105.10","31283.30"
"01 Jul 2019","31271.00","31450.35","31246.45","31372.20"
"28 Jun 2019","31281.00","31308.90","31060.60","31105.20"
"27 Jun 2019","31192.10","31490.60","31158.80","31269.50"
"26 Jun 2019","30809.20","31202.70","30766.65","31162.35"
"25 Jun 2019","30567.65","30913.25","30451.40","30847.05"
"24 Jun 2019","30680.95","30783.65","30528.00","30602.05"
"21 Jun 2019","30804.95","30804.95","30541.50","30628.35"
"20 Jun 2019","30390.20","30824.55","30220.70","30781.10"
"19 Jun 2019","30526.50","30699.15","30242.00","30362.10"
"18 Jun 2019","30299.45","30550.65","30222.85","30351.00"
"17 Jun 2019","30652.00","30684.05","30249.40","30273.25"
"14 Jun 2019","30983.45","31032.65","30508.95","30614.35"
"13 Jun 2019","30876.75","31036.90","30638.25","30976.10"
"12 Jun 2019","31219.30","31222.30","30911.45","30965.70"
"11 Jun 2019","31172.25","31399.35","30973.35","31265.45"
"10 Jun 2019","31259.20","31367.40","30861.30","31034.00"
"07 Jun 2019","30943.15","31139.60","30627.05","31066.55"
"06 Jun 2019","31523.95","31541.50","30800.80","30857.40"
"04 Jun 2019","31532.90","31752.70","31512.95","31589.05"
"03 Jun 2019","31406.05","31674.60","31284.70","31653.65"
"31 May 2019","31678.90","31783.60","30623.05","31375.40"
"30 May 2019","31256.85","31619.25","31236.10","31537.10"
"29 May 2019","31459.25","31546.75","31257.90","31295.55"
"28 May 2019","31711.30","31712.40","31328.60","31597.90"
"27 May 2019","31234.90","31700.75","31142.50","31647.65"
"24 May 2019","30685.50","31275.40","30564.40","31212.55"
"23 May 2019","30962.80","31705.00","30292.35","30409.10"
"22 May 2019","30410.65","30675.10","30268.60","30526.80"
"21 May 2019","30862.10","30926.70","30265.10","30308.40"
"20 May 2019","30230.40","30827.85","30111.20","30759.70"
"17 May 2019","28881.40","29559.45","28856.00","29450.15"
"16 May 2019","28625.90","28947.60","28525.45","28855.30"
"15 May 2019","28925.45","28983.15","28555.15","28616.45"
"14 May 2019","28718.75","29058.30","28582.60","28829.20"
"13 May 2019","29026.65","29049.05","28621.10","28659.95"
"10 May 2019","28927.60","29202.85","28900.10","29040.50"
"09 May 2019","28893.95","29040.30","28784.65","28884.60"
"08 May 2019","29261.30","29261.30","28951.35","28994.40"
"07 May 2019","29749.55","29835.50","29244.25","29288.20"
"06 May 2019","29626.50","29757.40","29528.60","29618.45"
"03 May 2019","29811.65","30121.75","29795.10","29954.15"
"02 May 2019","29699.80","29919.35","29638.80","29708.60"
"30 Apr 2019","29920.40","29920.40","29550.05","29764.80"
"26 Apr 2019","29764.85","30048.20","29563.15","30013.50"
"25 Apr 2019","29927.05","30057.70","29511.95","29561.35"
"24 Apr 2019","29550.50","29914.85","29435.05","29860.80"
"23 Apr 2019","29761.95","29906.50","29455.45","29479.70"
"22 Apr 2019","30282.50","30289.90","29647.55","29687.95"
"18 Apr 2019","30656.50","30669.80","30142.20","30223.40"
"16 Apr 2019","30236.25","30590.95","30228.20","30531.35"
"15 Apr 2019","29983.50","30163.10","29919.10","30104.25"
"12 Apr 2019","29780.55","30000.95","29707.00","29938.55"
"11 Apr 2019","29841.85","29852.25","29640.25","29786.10"
"10 Apr 2019","29916.60","30155.75","29768.10","29803.50"
"09 Apr 2019","29901.50","30165.05","29703.55","30113.85"
"08 Apr 2019","30201.50","30232.05","29716.60","29845.30"
"05 Apr 2019","30002.85","30174.00","29850.00","30084.65"
"04 Apr 2019","30147.30","30245.70","29809.90","29904.90"
"03 Apr 2019","30440.85","30602.55","30036.25","30093.30"
"02 Apr 2019","30450.10","30452.90","30155.85","30354.25"
"01 Apr 2019","30537.60","30648.10","30218.35","30326.50"
"29 Mar 2019","30480.35","30499.15","30235.90","30426.80"
"28 Mar 2019","30064.80","30496.05","29969.10","30420.55"
"27 Mar 2019","30034.15","30262.55","29790.25","30019.80"
"26 Mar 2019","29300.40","29950.15","29278.50","29882.15"
"25 Mar 2019","29329.40","29329.40","29156.25","29281.20"
"22 Mar 2019","29920.75","30008.10","29508.70","29582.50"
"20 Mar 2019","29769.65","29885.20","29633.50","29832.20"
"19 Mar 2019","29702.60","29799.75","29547.70","29767.85"
"18 Mar 2019","29521.60","29812.00","29361.65","29596.10"
"15 Mar 2019","29007.00","29520.70","28990.85","29381.45"
"14 Mar 2019","29028.90","29070.35","28819.75","28923.10"
"13 Mar 2019","28480.30","28927.70","28353.65","28884.30"
"12 Mar 2019","28168.20","28488.10","28142.25","28443.70"
"11 Mar 2019","27840.10","28035.60","27791.25","27966.65"
"08 Mar 2019","27686.15","27811.35","27645.40","27761.80"
"07 Mar 2019","27661.00","27815.50","27560.00","27764.60"
"06 Mar 2019","27618.10","27681.65","27492.05","27625.65"
"05 Mar 2019","27068.15","27580.75","26958.10","27554.05"
"01 Mar 2019","26941.00","27076.55","26928.90","27043.90"
"28 Feb 2019","26878.00","26920.50","26762.55","26789.90"
"27 Feb 2019","27078.10","27189.45","26719.40","26799.30"
"26 Feb 2019","26853.80","27127.25","26736.60","26952.95"
"25 Feb 2019","26934.20","27197.10","26932.65","27159.25"
"22 Feb 2019","26960.05","26997.35","26847.80","26867.55"
"21 Feb 2019","26994.75","27100.90","26973.00","27052.40"
"20 Feb 2019","26786.00","26985.50","26732.65","26955.50"
"19 Feb 2019","26666.55","26996.45","26625.60","26684.85"
"18 Feb 2019","26754.60","26829.95","26617.70","26654.25"
"15 Feb 2019","27017.20","27029.95","26635.25","26794.25"
"14 Feb 2019","26978.00","27030.00","26818.05","26970.60"
"13 Feb 2019","27068.85","27108.00","26839.05","26885.40"
"12 Feb 2019","27166.90","27286.65","26988.90","27010.75"
"11 Feb 2019","27240.50","27305.90","27151.55","27227.80"
"08 Feb 2019","27302.65","27482.10","27221.25","27294.40"
"07 Feb 2019","27424.10","27589.75","27322.95","27387.15"
"06 Feb 2019","27326.20","27428.65","27294.10","27402.35"
"05 Feb 2019","27226.05","27348.25","27153.20","27271.70"
"04 Feb 2019","26974.00","27243.80","26825.55","27186.60"
"01 Feb 2019","27334.55","27533.05","26930.45","27085.95"
"31 Jan 2019","26969.15","27325.05","26891.05","27295.45"
"30 Jan 2019","26789.75","26916.25","26693.70","26825.50"
"29 Jan 2019","26616.25","26743.85","26441.55","26573.40"
